Cell	ImmClassifier_prediction
PTS87.0205	L:T:CD4:CM
PTS88.0205	L:T:CD4:CM
PTS89.0205	L:B:PC
PTS90.0205	L:T:CD4:Naive
PTS91.0205	L:T:CD4:Naive
PTS92.0205	L:T:CD4:CM
PTS94.0205	L:T:CD4:Naive
PTS95.0205	L:T:CD4:Treg
PTS98.0205	L:T:CD4:CM
TTC1.1.0508	L:T:CD8:EM
TTC1.2.0508	L:T:CD8:TRM
TTC1.3.0508	L:T:CD8:EMRA
TTS100.0205	L:T:CD4:Treg
TTS102.0205	L:T:CD4:Treg
TTS103.0205	L:T:CD4:TRM
TTS104.0205	L:T:CD4:Treg
TTS106.0205	L:T:CD4:Treg
TTS107.0205	L:T:CD4:Treg
TTS108.0205	L:T:CD4:Treg
TTS109.0205	L:T:CD4:Treg
TTS113.0205	L:T:CD4:Treg
TTS115.0205	L:T:CD4:Treg
TTS116.0205	L:T:CD4:Treg
TTS117.0205	L:T:CD4:Treg
TTS118.0205	L:T:CD4:Treg
TTS119.0205	L:B:PC
TTS120.0205	L:T:CD4:Treg
TTS121.0205	L:T:CD4:Treg
TTS122.0205	L:T:CD4:Treg
TTS67.0205	L:T:CD4:Treg
TTS68.0205	L:T:CD4:Treg
TTS69.0205	L:T:CD4:Treg
TTS70.0205	L:T:CD4:Treg
TTS71.0205	L:T:CD4:Treg
TTS72.0205	L:T:CD4:Treg
TTS73.0205	L:T:CD4:Treg
TTS74.0205	L:T:CD4:Treg
TTS75.0205	L:T:CD4:Treg
TTS77.0205	L:T:CD4:Treg
TTS78.0205	M:Mono:Mac
TTS79.0205	L:T:CD4:Treg
TTS80.0205	L:T:CD4:Treg
TTS81.0205	L:T:CD4:EM
TTS82.0205	L:T:CD4:Treg
TTS83.0205	L:T:CD4:Treg
TTS84.0205	L:T:CD4:Treg
TTS86.0205	L:T:CD4:Treg
TTS87.0205	L:T:CD4:Treg
TTS88.0205	L:T:CD4:Treg
TTS89.0205	L:T:CD4:Treg
TTS90.0205	L:T:CD4:Treg
TTS91.0205	L:T:CD4:Treg
TTS92.0205	L:T:CD4:Treg
TTS93.0205	L:T:CD4:Treg
TTS94.0205	L:B
TTS95.0205	L:T:CD4:Treg
TTS96.0205	L:T:CD4:Treg
TTS97.0205	L:T:CD4:EM
TTS98.0205	L:T:CD4:Treg
TTS99.0205	L:T:CD4:Treg
NTC1.2.0508	L:NK
NTC1.3.0508	L:T:CD8:EM
NTC1.4.0508	L:T:CD8:TRM
